,id,has_Human1
116,ENSG00000131143,True
117,ENSG00000198712,True
118,ENSG00000176340,True
119,ENSG00000152234,True
120,ENSG00000198899,True
121,ENSG00000099624,True
122,ENSG00000110955,True
123,ENSG00000135390,True
124,ENSG00000167863,True
125,ENSG00000159199,True
126,ENSG00000241837,True
127,ENSG00000154723,True
128,ENSG00000169020,True
129,ENSG00000167283,True
130,ENSG00000228253,True
131,ENSG00000241468,True
132,ENSG00000116459,True
133,ENSG00000124172,True
134,ENSG00000249222,True
135,ENSG00000154518,True
136,ENSG00000165629,True
137,ENSG00000100889,True
138,ENSG00000173599,True
139,ENSG00000151376,True
140,ENSG00000082212,True
141,ENSG00000166123,True
142,ENSG00000131473,True
143,ENSG00000103202,True
144,ENSG00000112992,True
145,ENSG00000004455,True
146,ENSG00000147853,True
147,ENSG00000065833,True
148,ENSG00000167701,True
149,ENSG00000162368,True
150,ENSG00000011052,True
151,ENSG00000106992,True
152,ENSG00000165695,True
153,ENSG00000172113,True
154,ENSG00000140057,True
155,ENSG00000154027,True
156,ENSG00000162433,True
157,ENSG00000155085,True
158,ENSG00000143156,True
159,ENSG00000103024,True
160,ENSG00000138413,True
161,ENSG00000122729,True
162,ENSG00000120053,True
163,ENSG00000014641,True
164,ENSG00000108528,True
165,ENSG00000004864,True
166,ENSG00000115840,True
167,ENSG00000125166,True
168,ENSG00000167588,True
169,ENSG00000152642,True
170,ENSG00000115159,True
171,ENSG00000151726,True
172,ENSG00000164398,True
173,ENSG00000130377,True
174,ENSG00000197142,True
175,ENSG00000068366,True
176,ENSG00000123983,True
177,ENSG00000103740,True
178,ENSG00000205560,True
179,ENSG00000180817,True
180,ENSG00000178537,True
181,ENSG00000157184,True
182,ENSG00000138777,True
183,ENSG00000119673,True
184,ENSG00000115361,True
185,ENSG00000171503,True
186,ENSG00000116353,True
187,ENSG00000084754,True
188,ENSG00000138029,True
189,ENSG00000117054,True
190,ENSG00000127884,True
191,ENSG00000138796,True
192,ENSG00000167315,True
193,ENSG00000122971,True
194,ENSG00000075239,True
195,ENSG00000076555,True
196,ENSG00000278540,True
197,ENSG00000169710,True
198,ENSG00000005187,True
199,ENSG00000161267,True
200,ENSG00000083720,True
201,ENSG00000134240,True
202,ENSG00000117305,True
203,ENSG00000105552,True
204,ENSG00000083123,True
205,ENSG00000137992,True
206,ENSG00000248098,True
207,ENSG00000128928,True
208,ENSG00000131844,True
209,ENSG00000078070,True
210,ENSG00000148090,True
211,ENSG00000198130,True
212,ENSG00000106049,True
213,ENSG00000111058,True
214,ENSG00000119711,True
215,ENSG00000114054,True
216,ENSG00000175198,True
217,ENSG00000124370,True
218,ENSG00000146085,True
219,ENSG00000135094,True
220,ENSG00000139410,True
221,ENSG00000168906,True
222,ENSG00000101444,True
223,ENSG00000158467,True
224,ENSG00000156110,True
225,ENSG00000160200,True
226,ENSG00000116761,True
227,ENSG00000129596,True
228,ENSG00000128309,True
229,ENSG00000131203,True
230,ENSG00000151790,True
231,ENSG00000183077,True
232,ENSG00000117009,True
233,ENSG00000115919,True
234,ENSG00000162882,True
235,ENSG00000153086,True
236,ENSG00000183032,True
237,ENSG00000105607,True
238,ENSG00000008311,True
239,ENSG00000164904,True
240,ENSG00000109576,True
241,ENSG00000179761,True
242,ENSG00000100033,True
243,ENSG00000159423,True
244,ENSG00000059573,True
245,ENSG00000183010,True
246,ENSG00000065154,True
247,ENSG00000115758,True
248,ENSG00000002726,True
249,ENSG00000143149,True
250,ENSG00000142920,True
251,ENSG00000116771,True
252,ENSG00000141504,True
253,ENSG00000069535,True
254,ENSG00000072210,True
255,ENSG00000137124,True
256,ENSG00000136750,True
257,ENSG00000183044,True
258,ENSG00000112294,True
259,ENSG00000148672,True
260,ENSG00000182890,True
261,ENSG00000135821,True
262,ENSG00000115419,True
263,ENSG00000135423,True
264,ENSG00000084774,True
265,ENSG00000092621,True
266,ENSG00000135069,True
267,ENSG00000146733,True
268,ENSG00000176974,True
269,ENSG00000228716,True
270,ENSG00000100714,True
271,ENSG00000163738,True
272,ENSG00000160282,True
273,ENSG00000144908,True
274,ENSG00000167720,True
275,ENSG00000182199,True
276,ENSG00000178445,True
277,ENSG00000145020,True
278,ENSG00000178700,True
279,ENSG00000065911,True
280,ENSG00000120254,True
281,ENSG00000136010,True
282,ENSG00000100116,True
283,ENSG00000124767,True
284,ENSG00000063854,True
285,ENSG00000166816,True
286,ENSG00000021826,True
287,ENSG00000036473,True
288,ENSG00000007171,True
289,ENSG00000131067,True
290,ENSG00000167741,True
291,ENSG00000166825,True
292,ENSG00000001084,True
293,ENSG00000100983,True
294,ENSG00000171759,True
295,ENSG00000151552,True
296,ENSG00000104951,True
297,ENSG00000158104,True
298,ENSG00000113924,True
299,ENSG00000100577,True
300,ENSG00000103876,True
301,ENSG00000070669,True
302,ENSG00000166183,True
303,ENSG00000084110,True
304,ENSG00000159650,True
305,ENSG00000139344,True
306,ENSG00000166165,True
307,ENSG00000104879,True
308,ENSG00000131730,True
309,ENSG00000172497,True
310,ENSG00000117448,True
311,ENSG00000248144,True
312,ENSG00000197894,True
313,ENSG00000154930,True
314,ENSG00000131069,True
315,ENSG00000239900,True
316,ENSG00000185100,True
317,ENSG00000035687,True
318,ENSG00000116748,True
319,ENSG00000118520,True
320,ENSG00000126522,True
321,ENSG00000130707,True
322,ENSG00000081181,True
323,ENSG00000023330,True
324,ENSG00000148218,True
325,ENSG00000256269,True
326,ENSG00000188690,True
327,ENSG00000126088,True
328,ENSG00000080819,True
329,ENSG00000143224,True
330,ENSG00000066926,True
331,ENSG00000103415,True
332,ENSG00000100292,True
