module_id,reactions
M00045,"R01168  C00135 -> C00785 R02914  C00785 -> C03680 R02288  C03680 -> C00439 R02285,R02287  C00439 -> C00025 R02286  C00439 -> C01045 R00525  C01045 -> C00025"
M00013,"R04432,R12356  C00100 -> C00894 R03045  C00894 -> C05668 R03158  C05668 -> C01013 R01608  C01013 -> C00222 R00705,R00706  C00222 -> C00024"
M00991,"R13452  C04022 -> C00580 + C01013 R13457  C01013 -> C00222 R00705,R00706  C00222 -> C00024"
M00992,"R02574  C04022 -> C00580 + C00511 R13454  C00511 -> C00894 R13455  C00894 -> C01013 R13457  C01013 -> C00222 R00705,R00706  C00222 -> C00024"
M00047,R00565  C00062 -> C00581 R01883  C00581 -> C00300 R01881  C00300 -> C02305 R07420  C02305 -> C00791
M00357,"R00315  C00033 -> C00227 R00230  C00227 -> C00024 R00235  C00033 -> C00024 R09096  C00024 -> C04488 R04347  C04488 + C03576 -> C03920 R04541  C03920 + C04628 -> C01438 + C04832 R11931,R04540,R11928,R11943,R11944  C04832 -> C04628 + C03576"
M00958,"R00181  C00020 -> C00130 R01126  C00130 -> C00294 R00183  C00020 -> C00212 R01560  C00212 -> C00294 R01863  C00294 -> C00262 R01768,R01769  C00262 -> C00385 R02103,R02107  C00385 -> C00366"
M00845,R00259  C00025 -> C00624 R02649  C00624 -> C04133 R03443  C04133 -> C01250 R02283  C01250 -> C00437 R07245  C00437 + C00169 -> C15532 R09107  C15532 -> C00327 R01954  C00327 + C00049 -> C03406 R01086  C03406 -> C00062 + C00122
M00868,R00830  C00037 -> C00430 R00036  C00430 -> C00931 R00084  C00931 -> C01024 R03165  C01024 -> C01051 R03197  C01051 -> C03263 R03220  C03263 -> C01079 R03222  C01079 -> C02191 R00310  C02191 -> C00032
M00121,"R05578  C00025 -> C02987 R04109  C02987 -> C03741 R02272  C03741 -> C00430 R00036  C00430 -> C00931 R00084  C00931 -> C01024 R03165  C01024 -> C01051 R03197  C01051 -> C03263 R03220,R06895  C03263 -> C01079 R03222,R09489,R12605  C01079 -> C02191 R00310  C02191 -> C00032"
M00846,R04109  C02987 -> C03741 R02272  C03741 -> C00430 R00036  C00430 -> C00931 R00084  C00931 -> C01024 R03165  C01024 -> C01051 R03194  C01051 -> C02463 R03947  C02463 -> C05778 R02864  C05778 -> C00748
