,model_id,kegg.reaction
316,MAR04516,R01667
317,MAR04601,R01967
318,MAR04633,R02089
319,MAR04640,R02098
320,MAR04641,R02099
321,MAR04680,R02484
322,MAR04806,R04325
323,MAR05394,R02145
324,MAR06625,R02099
325,MAR06626,R02102
326,MAR07717,R00963
327,MAR07875,R00158
328,MAR07878,R03530
329,MAR07883,R00156
330,MAR07886,R02093
331,MAR07890,R02326
332,MAR07894,R03530
333,MAR07895,R00722
334,MAR08443,R00951
335,MAR08444,R02677
336,MAR08445,R00513
337,MAR08473,R02556
338,MAR08474,R00085
339,MAR08477,R01666
340,MAR08482,R02016
341,MAR08484,R01131
342,MAR08486,R01561
343,MAR08487,R00963
344,MAR08488,R02720
345,MAR08489,R00720
346,MAR03802,R00243
347,MAR03804,R00248
348,MAR03811,R01954
349,MAR03813,R01086
350,MAR03822,R00707
351,MAR03827,R00355
352,MAR03829,R00355
353,MAR03862,R00485
354,MAR03865,R02619
355,MAR03870,R00115
356,MAR03873,R00149
357,MAR03890,R00253
358,MAR03892,R00256
359,MAR09802,R00256
360,MAR03899,R00258
361,MAR03903,R00578
362,MAR04109,R00258
363,MAR04114,R00269
364,MAR04115,R00269
365,MAR04118,R00115
366,MAR04172,R00485
367,MAR04196,R00576
368,MAR04197,R00576
369,MAR04287,R00714
370,MAR04690,R00261
371,MAR04693,R01648
372,MAR06780,R00734
373,MAR07642,R00401
374,MAR08626,R00487
375,MAR08628,R00488
376,MAR03806,R00245
377,MAR03807,R00667
378,MAR03809,R01398
379,MAR03816,R00551
380,MAR03819,R03314
381,MAR03820,R03314
382,MAR03832,R00552
383,MAR03833,R01251
384,MAR03835,R01248
385,MAR03837,R01248
386,MAR03895,R00239
387,MAR03897,R03313
388,MAR03956,R10092
389,MAR03993,R00111
390,MAR04073,R00178
391,MAR04075,R01920
392,MAR04077,R02869
393,MAR04190,R00558
394,MAR04191,R00566
395,MAR04212,R00670
396,MAR04422,R00670
397,MAR04423,R01151
398,MAR04424,R01157
399,MAR04583,R01883
400,MAR04605,R01986
401,MAR04606,R01991
402,MAR04607,R01992
403,MAR04776,R01252
404,MAR04777,R01252
405,MAR04778,R03291
406,MAR04779,R03291
407,MAR04780,R03293
408,MAR04781,R03293
409,MAR04784,R04444
410,MAR04785,R04445
411,MAR04786,R05052
412,MAR04787,R00470
413,MAR05384,R01402
414,MAR06955,R07408
415,MAR06958,R03899
416,MAR06961,R09074
417,MAR06965,R07477
418,MAR08096,R04443
419,MAR08097,R05051
420,MAR08098,R05053
421,MAR08416,R00259
422,MAR08425,R00669
423,MAR08426,R00551
424,MAR08603,R01154
425,MAR08604,R04025
426,MAR08605,R05050
427,MAR08606,R01151
428,MAR08608,R02894
429,MAR08609,R01251
430,MAR08610,R10507
431,MAR08611,R10507
432,MAR04285,R00713
433,MAR00457,R01514
434,MAR00460,R01514
435,MAR03752,R02660
436,MAR03770,R04095
437,MAR03784,R03172
438,MAR03839,R01513
439,MAR03841,R04173
440,MAR03843,R00582
441,MAR03845,R00945
442,MAR03847,R00371
443,MAR03852,R02529
444,MAR03856,R02527
445,MAR03860,R03758
446,MAR03883,R00220
447,MAR03901,R00367
448,MAR03939,R00831
449,MAR03974,R08698
450,MAR04198,R00585
451,MAR04200,R00590
452,MAR04284,R00751
453,MAR04348,R00996
454,MAR04466,R01394
455,MAR04582,R00565
456,MAR04696,R08557
457,MAR04697,R02565
458,MAR04698,R02566
459,MAR04699,R02821
460,MAR04700,R01565
461,MAR04742,R00830
462,MAR04788,R00369
463,MAR04792,R00945
464,MAR05392,R00942
465,MAR05393,R04242
466,MAR06409,R01698
467,MAR07702,R00465
468,MAR07703,R00475
469,MAR08440,R02565
470,MAR09718,R01771
471,MAR09486,R01466
472,MAR04428,R01167
473,MAR04429,R02155
474,MAR04430,R04674
475,MAR04431,R04996
476,MAR04437,R01168
477,MAR04658,R02287
478,MAR04660,R02288
479,MAR04712,R02914
480,MAR08783,R02150
